Day,Date,Team A,Team B,TA player 1,TA player 2,TA player 3,TA player 4,TA player 5,TA player 6,TA player 7,TA player 8,TA player 9,TA player 10,TA player 11,TB player 1,TB player 2,TB player 3,TB player 4,TB player 5,TB player 6,TB player 7,TB player 8,TB player 9,TB player 10,TB player 11
14,25/10/2017,montpellier,lille,200726,200677,223597,226166,202562,153260,225126,163699,192242,183389,231041,215698,198949,220337,200353,210520,225945,211382,206436,216433,234128,226110
14,25/10/2017,dijon,toulouse,204240,210434,197937,237548,225934,236639,211927,198817,187988,212613,210722,231691,231633,207746,231235,208615,222982,167933,196932,176794,211239,182945
14,25/10/2017,metz,amiens,219793,215379,225859,200298,157392,218623,112365,183820,211099,183982,239025,176994,186567,234624,234514,204886,186197,220245,214949,182856,203128,211321
14,25/10/2017,troyes,angers,190195,208862,201523,208449,231098,216237,206506,163796,220029,233550,195912,209423,212449,189946,199313,184190,178160,219792,230107,224069,221740,198264
14,26/10/2017,nice,lyon,215223,158625,193470,150590,192725,215703,213242,198861,216451,206467,186627,199482,216266,180334,207707,230578,227234,234906,235569,221639,202556,215798
14,26/10/2017,marseille,guingamp,163705,183280,204472,219681,198076,224030,185221,210896,177388,204970,183483,190120,167936,204338,239210,169069,231102,190014,188696,49488,134779,193953
14,26/10/2017,monaco,paris-sg,192593,190547,229712,163407,215792,227873,209499,162347,216393,215785,167397,193105,207865,164240,146530,201510,210008,202166,199556,190871,231747,179813
15,28/10/2017,strasbourg,caen,224442,204105,235552,47860,183766,197813,235042,193147,220905,230857,236786,5594,222926,227222,181456,212219,163804,239312,209502,205190,208017,188397
15,28/10/2017,amiens,dijon,176994,138704,202672,234624,204886,186197,220245,203128,169281,199074,225584,204240,225934,197937,234730,237548,236639,52126,188600,211927,187988,210722
15,28/10/2017,bordeaux,saint-etienne,158121,229782,215699,233219,222715,220609,217605,112253,222737,223510,223543,167628,159147,198688,220172,190868,225475,199170,225085,230144,198836,212350
15,29/10/2017,lyon,lille,199482,189681,180334,228618,230578,216594,227234,234906,235569,221639,202556,215698,198949,220337,200353,210520,236723,225945,213874,211382,206436,220715
15,29/10/2017,nantes,monaco,201325,216643,203884,219693,232693,210450,208787,223874,190516,204819,223875,192593,229712,215792,190547,201042,209499,162347,229011,210372,212692,167397
15,29/10/2017,metz,marseille,180739,203581,194196,225859,200298,235818,112365,183820,221250,211099,188289,163705,163083,183280,208520,219681,177388,185221,205632,227236,204970,183483
15,29/10/2017,guingamp,montpellier,190120,210394,167936,204338,169069,178051,192673,134779,228093,202035,193953,200726,163665,223597,226166,200677,202562,225126,223570,192242,183389,231041
15,29/10/2017,angers,rennes,199574,190579,184873,184190,189946,213388,178160,219792,226789,209781,224069,200332,196801,231263,207745,230043,219789,190674,236998,214097,194845,215245
15,29/10/2017,toulouse,nice,231691,231633,208615,231235,198067,222982,189207,224591,193983,211239,182945,215223,193470,158625,150590,192725,213313,213242,225199,216451,230020,186627
15,29/10/2017,paris-sg,troyes,188943,164240,201510,202371,225850,183898,191180,199556,226226,190871,179813,190195,208862,231098,201523,181559,208449,216237,233550,163796,220029,212428
16,01/11/2017,dijon,bordeaux,204240,225934,197937,237548,210434,236639,211927,198817,212613,210722,193226,158121,229782,215699,233219,222715,217605,112253,220609,222737,223543,223510
16,02/11/2017,strasbourg,paris-sg,224442,204105,183766,235552,47860,197813,220905,235042,236786,203736,230857,193105,207865,146530,183512,225850,210008,183898,191180,202166,190871,231747
16,02/11/2017,monaco,angers,192593,215792,190547,201042,203485,209499,162347,229011,215785,167397,234924,199574,138704,190579,229041,184873,184190,189946,178160,224069,221740,198264
16,02/11/2017,rennes,amiens,200332,196801,231263,207745,219789,153296,190674,214097,236998,194845,215245,176994,186567,138704,202672,204886,186197,220245,203128,169281,225584,211321
16,02/11/2017,troyes,guingamp,190195,208862,201523,231098,181559,208449,3665,233550,163796,220029,195912,190120,167936,234930,204338,169069,178051,190014,213725,231102,134779,228093
16,02/11/2017,nice,metz,215223,215703,193470,150590,192725,213242,216451,230020,206467,186627,216388,180739,203581,194196,215379,225859,200298,157392,112365,183820,183982,239025
